participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
34,,0,63,24,4,1,1,0,1,0,-1,0,0,0,0,1,0,1,0,0,0,1,-1,1,0,0,0,0,0,1,0,0,,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,-1,0,1,0,1,1,-1,1,1,1,,0,1,0,,,,,,,,,,,,,,,,,
36,,0,27,18,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,0,22,12,1,1,1,1,,0,1,0,,1,1,,,,0,1,1,0,-1,0,0,1,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,1,47,46,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,1,1,,,1,,1,,1,1,,1,1,,1,1,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
48,,0,32,25,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,0,40,15,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,0,28,22,2,1,1,1,1,0,-1,1,1,1,1,1,1,1,0,1,1,1,-1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,0,30,19,3,1,1,0,1,-1,-1,0,1,0,0,1,1,1,,1,0,1,-1,1,1,1,1,1,0,1,0,0,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,0,21,19,1,1,1,,1,1,,-1,,1,1,1,1,1,,1,1,1,,1,1,1,1,1,1,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,0,16,8,0,1,,,0,0,,0,1,1,1,,,,,1,1,,,0,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,0,9,6,0,1,,,1,,,,,1,1,0,,,,,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,3,61,52,2,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,0,1,1,0,1,-1,1,1,1,1,0,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,
61,,0,23,12,1,1,1,1,1,0,0,0,1,0,,1,,1,,0,1,,-1,0,1,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,0,12,8,0,1,,1,,,,,1,,,,1,,,0,,1,0,,0,1,,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,0,26,12,0,1,1,1,1,0,0,0,1,1,0,1,0,1,,0,1,0,0,0,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,0,37,23,2,1,1,0,1,1,1,0,0,1,1,1,1,1,,0,1,0,1,0,1,1,1,1,1,1,0,1,,0,1,1,1,-1,0,-1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,0,26,20,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,,1,1,0,0,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,0,26,17,2,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,-1,1,1,0,0,0,1,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,3,78,59,12,1,1,0,1,-1,0,1,-1,1,1,1,-1,1,,1,1,1,-1,1,1,1,1,1,1,1,0,1,,1,1,1,1,-1,1,0,1,1,-1,1,1,1,-1,1,1,1,1,-1,0,0,-1,1,0,1,1,1,1,1,-1,1,1,1,,1,1,1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,
72,,0,29,24,1,1,1,1,1,0,1,1,1,1,1,1,0,1,,1,1,1,-1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
74,,0,27,21,0,1,1,1,1,0,1,0,1,1,1,1,0,1,,1,1,0,1,1,1,1,1,1,0,1,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,0,27,16,3,1,1,1,0,1,0,0,1,1,1,1,1,0,,0,1,0,-1,0,1,1,1,1,0,-1,1,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,0,51,45,6,1,1,1,1,1,1,-1,1,1,1,1,1,1,,1,1,1,-1,-1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,0,29,14,7,1,0,0,1,-1,0,0,1,1,0,1,-1,1,,1,1,0,-1,0,1,-1,-1,1,1,1,-1,1,,1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,0,38,25,10,1,1,1,-1,-1,-1,0,1,1,1,1,1,1,,1,1,1,-1,-1,1,1,1,0,-1,1,-1,1,,1,-1,1,1,1,1,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,0,19,14,0,1,1,1,,,0,,1,1,,1,1,1,,0,1,,,0,1,1,,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,0,22,13,5,1,0,,1,,-1,0,1,,1,,1,1,,0,1,1,-1,,,1,-1,1,1,,,-1,,0,,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,1,33,5,6,1,0,0,-1,0,1,0,0,-1,0,-1,0,0,,0,1,0,0,0,0,0,0,0,-1,0,0,0,,1,-1,0,-1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,0,17,16,1,1,,,,,1,,,,1,1,,,,1,,,-1,1,1,,,,1,1,1,,,,,1,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,0,36,18,2,1,1,1,1,0,1,0,1,1,1,1,0,1,,0,1,-1,-1,1,1,0,0,0,0,1,0,0,,1,0,1,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,0,16,11,4,1,,,1,,,,,,1,,,1,,,1,,-1,1,1,1,,1,1,,,,,,-1,-1,1,,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,0,28,13,0,1,,1,1,0,0,0,1,1,,1,,1,,0,0,0,,0,,1,1,0,1,0,0,,,1,1,0,0,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
