timestamp,comment-id,voter-id,vote
1463374190866,0,0,1
1463379543577,0,1,1
1463382275030,0,2,1
1463412878946,0,3,1
1463448681991,0,4,1
1463568556451,0,9,1
1464055381755,0,10,1
1464279973436,0,11,1
1464710176567,0,12,0
1464832539292,0,13,1
1465012890499,0,14,1
1465002450565,0,15,0
1465266201096,0,16,0
1465266917328,0,20,1
1465268078823,0,23,1
1465275064626,0,24,1
1465272314537,0,25,1
1465268814644,0,26,1
1465269507277,0,28,0
1465270572793,0,32,1
1465271382873,0,33,1
1465273982000,0,34,1
1465274551890,0,36,1
1465275164610,0,38,1
1465275207836,0,41,1
1465280759171,0,48,1
1465281474849,0,49,1
1465281886586,0,50,1
1465284331330,0,51,1
1465284331984,0,51,1
1465283471527,0,52,1
1465286076945,0,56,1
1465287141092,0,58,1
1465287304057,0,59,1
1465287697104,0,61,1
1465287892117,0,62,1
1465287976579,0,63,1
1465294220309,0,64,1
1465301981002,0,67,1
1465302882190,0,68,1
1465303822542,0,69,1
1465305381019,0,72,1
1465306283712,0,74,1
1465306190670,0,75,1
1465308012331,0,79,1
1465308574967,0,80,1
1465314595452,0,85,1
1465320403571,0,86,1
1465320675702,0,87,1
1465330359593,0,88,1
1465344454147,0,91,1
1465351529755,0,93,1
1465354052033,0,94,1
1465356664071,0,96,1
1465374884914,0,103,1
1465393686748,0,108,1
1465395013687,0,109,0
1465430482690,0,115,1
1465439438037,0,116,1
1465447473358,0,117,1
1465485552783,0,121,1
1465506139755,0,122,1
1465562440250,0,123,1
1465567542576,0,124,1
1465573896892,0,125,1
1465574512580,0,126,1
1465574718239,0,127,0
1466049772684,0,135,1
1466063419203,0,146,1
1466083815935,0,149,1
1466104903811,0,151,1
1466266684539,0,156,1
1466269834198,0,157,1
1466572010348,0,159,1
1466956104065,0,161,1
1467004292284,0,162,0
1467006614399,0,164,1
1467007279181,0,165,0
1467006762056,0,167,1
1467007331249,0,169,1
1467011059115,0,170,1
1467029432264,0,175,1
1467030917368,0,176,0
1467041011175,0,178,1
1467084590147,0,183,1
1463376833169,1,0,1
1463379538909,1,1,1
1463382460238,1,2,0
1463412912177,1,3,-1
1463448617172,1,4,1
1463568546740,1,9,1
1463879769909,1,10,0
1464279981790,1,11,1
1465460507005,1,12,0
1465012748011,1,14,1
1465002597689,1,15,0
1465266628533,1,19,0
1465266795292,1,20,1
1465267933377,1,23,1
1465275090491,1,24,1
1465271341767,1,25,1
1465268776113,1,26,0
1465269364541,1,28,1
1465270576011,1,32,1
1465272002621,1,33,1
1467008024266,1,34,1
1465274584842,1,36,1
1465274564343,1,37,1
1465275336681,1,38,1
1465275300132,1,41,1
1465275430535,1,42,1
1465280772595,1,48,1
1465281596696,1,49,0
1465281624674,1,50,1
1465284276743,1,51,1
1465283440890,1,52,1
1465351520275,1,59,1
1465287646894,1,61,1
1465287863526,1,63,1
1465294288114,1,64,1
1465301935996,1,67,1
1465302799066,1,68,0
1465303724268,1,69,1
1465305174400,1,71,1
1465305390683,1,72,1
1465306089172,1,74,1
1465306163103,1,75,1
1465306496047,1,77,0
1465308035147,1,79,1
1465308507737,1,80,0
1465314464173,1,85,1
1465320381523,1,86,1
1465320719367,1,87,0
1465330700503,1,88,0
1465351619595,1,93,1
1465373177053,1,102,1
1465375224547,1,103,0
1465383867207,1,104,0
1465390216112,1,107,1
1465393719222,1,108,0
1465395155153,1,109,1
